브랜드명,상호명,지점명,상권업종소분류명,도로명주소,경도,위도
GS25,GS25,함덕골든튤립,편의점,"제주특별자치도 제주시 조천읍 조함해안로 504, (함덕리)",126.66692071569099,33.542396365895
GS25,GS25,서귀대포점,편의점,"제주특별자치도 서귀포시 이어도로 129, (대포동)",126.436196211747,33.2391578568785
GS25,GS25,제주화북점,편의점,"제주특별자치도 제주시 진동로5길 31, (화북일동, 화북시장)",126.56640892288,33.5218084052047
GS25,GS25,우도검멀레점,편의점,"제주특별자치도 제주시 우도면 우도해안길 1118, (연평리)",126.968636267893,33.4977882727072
GS25,GS25제주국제점,제주국제점,편의점,"제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 40, (구억리)",126.289792670921,33.2957422712544
GS25,GS25,제주공항점,편의점,"제주특별자치도 제주시 공항로 2, (용담이동)",126.49600744383001,33.5059263508018
GS25,GS25,N서귀포호텔점,편의점,"제주특별자치도 제주시 아연로 62-8, (연동)",126.49734927881399,33.477471070964306
GS25,GS25,마라도점,편의점,"제주특별자치도 서귀포시 대정읍 마라로101번길 43, (가파리)",126.26661582736,33.1183263228899
GS25,GS25,일성제주비치점,편의점,"제주특별자치도 제주시 한림읍 한림로 127, (금능리)",126.221177126335,33.3857714144204
GS25,GS25,새마을연수원점,편의점,"제주특별자치도 제주시 애월읍 평화로 2175, (소길리)",126.39408337802,33.4136889278936
GS25,GS25,열린병원점,편의점,"제주특별자치도 서귀포시 일주동로 8638, (동홍동)",126.565479077597,33.254456831220196
GS25,GS25,재즈마을점,편의점,"제주특별자치도 서귀포시 소보리당로 220, (상예동)",126.38470310087799,33.2621662797263
GS25,GS25,제주도련점,편의점,"제주특별자치도 제주시 도련2길 12, (도련일동)",126.589326616672,33.5071594111868
GS25,GS25,중앙여고점,편의점,제주특별자치도 제주시 구남동5길 6,126.53981325438299,33.489636064752695
GS25,GS25연동달그네점,연동달그네점,편의점,"제주특별자치도 제주시 노연로 96, (연동)",126.49047176236999,33.4856999632332
GS25,GS25제주한경점,제주한경점,편의점,"제주특별자치도 제주시 한경면 중산간서로 3660, (저지리)",126.256229763638,33.3309681937479
GS25,GS25서귀엘지점,서귀엘지점,편의점,"제주특별자치도 서귀포시 중앙로 45, (서귀동)",126.56156004668301,33.2486953331137
GS25,GS25노형국일점,노형국일점,편의점,"제주특별자치도 제주시 원노형6길 8, (노형동)",126.482753638591,33.4852901520084
GS25,GS25서귀오션점,서귀오션점,편의점,"제주특별자치도 서귀포시 중앙로 19-1, (서귀동)",126.561847257533,33.2462282346925
GS25,GS25대정상모점,대정상모점,편의점,"제주특별자치도 서귀포시 대정읍 상모로 290, (상모리)",126.258421138273,33.2233982317505
GS25,GS25,금능해변점,편의점,"제주특별자치도 제주시 한림읍 금능길 92, (금능리)",126.232838204627,33.3889040862129
GS25,GS25,제주하귀점,편의점,"제주특별자치도 제주시 애월읍 일주서로 7143, (하귀1리)",126.41193325744601,33.4860255705051
GS25,GS25서귀고점,서귀고점,편의점,"제주특별자치도 서귀포시 중앙로 148, (동홍동)",126.560519557778,33.257834657540805
GS25,GS25대평중앙점,대평중앙점,편의점,"제주특별자치도 서귀포시 예래로 454, (하예동)",126.369672648733,33.235337396915604
GS25,GS25,서귀서문점,편의점,"제주특별자치도 서귀포시 서문로 11, (서귀동)",126.560192409002,33.2516097469762
GS25,GS25제주세화점,제주세화점,편의점,"제주특별자치도 제주시 구좌읍 구좌로 77-1, (세화리)",126.85897941523301,33.521242841101
GS25,GS25,제주간드락점,편의점,"제주특별자치도 제주시 간월동로 10, (아라이동)",126.543821106756,33.4854728628521
GS25,GS25,제주남광점,편의점,"제주특별자치도 제주시 오복4길 38, (이도이동, 이도한우리아파트)",126.53790790246401,33.4935264366678
GS25,GS25,제주산방산점,편의점,"제주특별자치도 서귀포시 안덕면 산방로 260, (사계리)",126.308037803007,33.2348117116521
GS25,GS25,제주용담점,편의점,"제주특별자치도 제주시 용남1길 18, (용담일동)",126.514356625012,33.5071845728664
GS25,GS25제주아라점,제주아라점,편의점,"제주특별자치도 제주시 중앙로 576, (아라일동)",126.545348164785,33.4720031775024
GS25,GS25,제주성산점,편의점,"제주특별자치도 서귀포시 성산읍 성산중앙로 44, (성산리)",126.93385397101002,33.4635744895547
GS25,GS25제주수덕점,제주수덕점,편의점,"제주특별자치도 제주시 수덕5길 40, (노형동)",126.474686484654,33.4851550506716
GS25,GS25신라기숙사점,신라기숙사점,편의점,"제주특별자치도 서귀포시 홍중로 35, (서홍동)",126.556634668474,33.2552290454612
GS25,GS25신서귀LH점,신서귀LH점,편의점,"제주특별자치도 서귀포시 서호남로 92-15, (서호동, 제주서귀포혁신도시엘에이치1단지)",126.523709902178,33.249577117411
GS25,GS25,노형드림점,편의점,"제주특별자치도 제주시 원노형남2길 39, (노형동)",126.48534794402799,33.4827434040434
GS25,GS25이도사랑점,이도사랑점,편의점,"제주특별자치도 제주시 연삼로 417, (이도이동)",126.53554765538901,33.49630246117211
GS25,GS25,제주남원점,편의점,"제주특별자치도 서귀포시 남원읍 태위로 680-1, (남원리)",126.719221844946,33.2790008774341
GS25,GS25제주영어마을점,제주영어마을점,편의점,"제주특별자치도 서귀포시 대정읍 에듀시티로 74, (보성리, 라온프라이빗에듀)",126.281357807998,33.2879085516715
GS25,GS25,도남방선문점,편의점,"제주특별자치도 제주시 복지로 72, (도남동, 방선문빌리지4차)",126.525371850621,33.4871840578837
GS25,GS25N구삼예비점,N구삼예비점,편의점,"제주특별자치도 서귀포시 배낭골로 109, (토평동)",126.586319748451,33.2976934457481
GS25,GS25중문마을점,중문마을점,편의점,"제주특별자치도 서귀포시 천제연로207번길 18, (중문동)",126.42715782113899,33.2531898440087
GS25,GS25한라수목원점,한라수목원점,편의점,"제주특별자치도 제주시 수목원길 65-6, (연동)",126.49199339206001,33.470536044065696
GS25,GS25제주하귀로점,제주하귀로점,편의점,"제주특별자치도 제주시 애월읍 하귀로23길 1, (하귀2리)",126.40286312347601,33.4801660901038
GS25,GS25제대정문점,제대정문점,편의점,"제주특별자치도 제주시 제주대학로 113, (아라이동)",126.562118449879,33.460352064012696
GS25,GS25제주원노형점,제주원노형점,편의점,"제주특별자치도 제주시 원노형3길 34, (노형동)",126.48260921491001,33.4867849861619
GS25,GS25,제주표선점,편의점,"제주특별자치도 서귀포시 표선면 표선중앙로 90, (표선리)",126.83351404467899,33.3256319412259
GS25,GS25,제주중앙여중점,편의점,"제주특별자치도 제주시 서사로11길 5, (삼도이동)",126.520814852388,33.5058644221895
GS25,GS25,정든마을점,편의점,"제주특별자치도 제주시 달마루길 20-1, (노형동)",126.473999032927,33.4899970128441
GS25,GS25,노형이화점,편의점,"제주특별자치도 제주시 원노형로 3, (노형동)",126.484028070704,33.4881006105886
GS25,GS25,서귀터미널점,편의점,"제주특별자치도 서귀포시 일주동로 9213, (법환동)",126.508551932572,33.2487020061263
탐앤탐스,탐앤탐스,제주삼화지구점,커피전문점/카페/다방,"제주특별자치도 제주시 건주로4길 6-4, (도련일동)",126.58034198283899,33.5162709190186
GS25,GS25,제대후문점,편의점,"제주특별자치도 제주시 산천단동2길 20, (아라일동)",126.55847578762399,33.4497251594771
GS25,GS25,일도중앙점,편의점,"제주특별자치도 제주시 고마로 143, (일도이동)",126.543329728488,33.5019659385145
탐앤탐스,탐엔탐스,칠성로점,커피전문점/카페/다방,"제주특별자치도 제주시 중앙로7길 9, (일도일동)",126.525760916131,33.5150112225541
GS25,GS25,연동서강점,편의점,"제주특별자치도 제주시 신대로16길 43, (연동)",126.491842249614,33.486708377150194
GS25,GS25제주아로마,,편의점,"제주특별자치도 제주시 연동10길 5, (연동)",126.492084422401,33.4851516093702
GS25,GS25다인리조트,,편의점,"제주특별자치도 제주시 애월읍 애월해안로 400-9, (고내리)",126.351323308101,33.4714222660425
GS25,GS25,첨단점,편의점,"제주특별자치도 제주시 첨단로 217, (영평동)",126.57174832843398,33.4529621925838
GS25,GS25,한라병원점,편의점,"제주특별자치도 제주시 도령로 65, (연동)",126.484969636263,33.490257857866204
GS25,GS25,하귀휴먼점,편의점,"제주특별자치도 제주시 애월읍 광령평화10길 1, (광령리)",126.442606973931,33.4548241161102
GS25,GS25,시편의점,사업경영상담,"제주특별자치도 제주시 도령로 31, (노형동)",126.482203083161,33.4878618932482
탐앤탐스,탐앤탐스,제주대학병원점,커피전문점/카페/다방,"제주특별자치도 제주시 아란13길 15, (아라일동)",126.54525635702,33.4671966776734
맥도날드,맥도날드,제주시청디티점,패스트푸드,"제주특별자치도 제주시 중앙로 277, (이도이동)",126.533223205597,33.4956709095894
GS25,GS25,제주한경점,편의점,"제주특별자치도 제주시 한경면 중산간서로 3662, (저지리)",126.25617033215401,33.3312558547491
스타벅스,스타벅스제주서귀포점,제주서귀포점,커피전문점/카페/다방,"제주특별자치도 서귀포시 천제연로 93, (색달동)",126.41572441918001,33.2552626003895
맥도날드,맥도날드일도DT점,일도DT점,패스트푸드,"제주특별자치도 제주시 동광로 134, (일도이동)",126.54109452538401,33.5075474312962
스타벅스,스타벅스,신제주이마트점,커피전문점/카페/다방,"제주특별자치도 제주시 1100로 3348, (노형동)",126.48048924973999,33.4849558726493
GS25,GS25,한림동명점,편의점,"제주특별자치도 제주시 한림읍 한림중앙로 72, (동명리)",126.266393750937,33.4082106423407
GS25,GS25,서귀중문점,편의점,"제주특별자치도 서귀포시 천제연로 210, (중문동)",126.426995564256,33.2514657542542
GS25,GS25도남성환점,도남성환점,편의점,"제주특별자치도 제주시 신성로 84, (도남동)",126.528327284512,33.4956579308868
GS25,GS25,신서귀포점,편의점,"제주특별자치도 서귀포시 신서귀로97번길 45, (강정동)",126.507229140774,33.2545555750944
GS25,GS25,제주도원점,편의점,"제주특별자치도 제주시 과원로 49, (연동)",126.48864090938801,33.4765086845622
GS25,GS25한림옹포점,한림옹포점,편의점,"제주특별자치도 제주시 한림읍 한림로 494, (옹포리)",126.252293305592,33.403243647563
GS25,GS25,애월구엄점,편의점,"제주특별자치도 제주시 애월읍 애월해안로 715, (구엄리)",126.37737993211799,33.4840001976835
GS25,GS25,한라점,편의점,"제주특별자치도 제주시 한라대학로 63, (노형동)",126.477417216543,33.476668819588106
GS25,GS25,노형사랑점,편의점,"제주특별자치도 제주시 노형로 379, (노형동)",126.476061919634,33.4840269837007
GS25,GS25,제주대정점,편의점,"제주특별자치도 서귀포시 대정읍 하모중앙로 75, (하모리)",126.252261028203,33.221391505331205
GS25,GS25,화북동중점,편의점,"제주특별자치도 제주시 일주동로 250, (화북일동)",126.572040724258,33.5197096799467
GS25,GS25,쇠소깍점,편의점,"제주특별자치도 서귀포시 쇠소깍로 151-8, (하효동)",126.62123522265699,33.2505524065408
GS25,GS25,제주용흥점,편의점,"제주특별자치도 제주시 용담로 89, (용담이동)",126.512289020789,33.5122896889489
스타벅스,스타벅스,신제주점,커피전문점/카페/다방,"제주특별자치도 제주시 노연로 99, (연동)",126.49087474975401,33.4860384523681
버거킹,버거킹,제주이마트점,패스트푸드,"제주특별자치도 제주시 1100로 3348, (노형동)",126.48048924973999,33.4849558726493
이디야,이디야커피,에스프레소제주노형점,커피전문점/카페/다방,"제주특별자치도 제주시 달마루길 10-1, (노형동)",126.47485124349,33.4892592057045
GS25,GS25제주동교점,제주동교점,편의점,"제주특별자치도 제주시 동문로 68, (일도이동)",126.533947091087,33.5133683510223
GS25,GS25담모라점,담모라점,편의점,"제주특별자치도 서귀포시 안덕면 일주서로 1975-11, (사계리)",126.3060876349,33.2497061449286
GS25,GS25,천지연점,편의점,"제주특별자치도 서귀포시 남성중로 2-11, (서홍동)",126.559831017983,33.2442033204387
GS25,GS25서귀정방점,서귀정방점,편의점,"제주특별자치도 서귀포시 남원읍 태위로 69, (위미리)",126.654991337145,33.2738504265869
GS25,GS25,탑동아라점,편의점,"제주특별자치도 제주시 임항로 18, (건입동)",126.52674983195499,33.5163573138308
GS25,GS25,함덕해변점,편의점,"제주특별자치도 제주시 조천읍 조함해안로 530, (함덕리)",126.66955759164699,33.54246079113489
맥도날드,맥도날드,제주공항DT점,패스트푸드,"제주특별자치도 제주시 도령로 159, (용담이동)",126.492622902042,33.4950573875355
GS25,GS25제주베두리점,제주베두리점,편의점,"제주특별자치도 제주시 삼무로 77, (연동)",126.495001300588,33.4900645618669
맥도날드,맥도날드,제주노형점,패스트푸드,"제주특별자치도 제주시 노연로 7, (노형동)",126.480992581131,33.4863234107987
스타벅스,스타벅스제주용담DT점,제주용담DT점,커피전문점/카페/다방,"제주특별자치도 제주시 서해안로 380, (용담삼동)",126.484562504204,33.512386325943396
GS25,GS25제주아라점,제주아라점,편의점,"제주특별자치도 제주시 간월동로 6, (아라이동)",126.54357047362801,33.4850191284768
GS25,GS25,이도중앙점,편의점,"제주특별자치도 제주시 신설로7길 25, (이도이동)",126.544681612251,33.4938496094046
GS25,GS25,노형월광점,편의점,"제주특별자치도 제주시 월광로 25, (노형동)",126.464180793274,33.4841958474329
GS25,GS25노형중점,노형중점,편의점,"제주특별자치도 제주시 노형5길 42, (노형동)",126.474427905088,33.4796523089166
GS25,GS25,삼화엘에이치점,편의점,"제주특별자치도 제주시 화삼로 110, (도련이동, 제주삼화엘에이치3단지)",126.58665771640699,33.5144317959509
스타벅스,스타벅스제주중문DT점,제주중문DT점,커피전문점/카페/다방,"제주특별자치도 서귀포시 천제연로 95, (색달동)",126.415952645099,33.2551032223451
GS25,GS25,탐라도서관점,편의점,"제주특별자치도 제주시 노형1길 43, (노형동, 노형블래스빌)",126.47765465133001,33.4797010051792
이디야,이디야커피,성읍점,커피전문점/카페/다방,"제주특별자치도 서귀포시 표선면 번영로 2644, (성읍리)",126.784763470117,33.3990982386351
GS25,GS25,함덕골든튤립점,편의점,"제주특별자치도 제주시 조천읍 조함해안로 504, (함덕리)",126.66692071569099,33.542396365895
맥도날드,맥도날드,탑동점,패스트푸드,"제주특별자치도 제주시 임항로 17, (건입동)",126.52679721983401,33.5167365372118
GS25,GS25,외도중앙점,편의점,"제주특별자치도 제주시 우정로8길 20, (외도일동)",126.428958346703,33.4893890366896
스타벅스,스타벅스,중문점,커피전문점/카페/다방,"제주특별자치도 서귀포시 중문관광로110번길 32, (색달동)",126.41272861743799,33.251212328147
GS25,GS25제주용화점,제주용화점,편의점,"제주특별자치도 제주시 용화로 26, (용담이동)",126.506316630477,33.509729484886606
GS25,GS25서귀공천포점,서귀공천포점,편의점,"제주특별자치도 서귀포시 남원읍 일주동로 7897, (신례리)",126.641928604692,33.266215923680704
맥도날드,맥도날드제주월드컵스타디움DT점,제주월드컵스타디움DT점,패스트푸드,"제주특별자치도 서귀포시 일주서로 7, (강정동)",126.507510079769,33.2493927575423
GS25,GS25편의점동홍대림점,편의점동홍대림점,편의점,"제주특별자치도 서귀포시 동홍중앙로 50, (동홍동)",126.572294297177,33.2550582048028
GS25,GS25김녕예그리나점,김녕예그리나점,편의점,"제주특별자치도 제주시 구좌읍 일주동로 1845, (김녕리)",126.72881653173401,33.5565532004287
스타벅스,스타벅스서귀포DT점,서귀포DT점,커피전문점/카페/다방,"제주특별자치도 서귀포시 일주서로 11, (강정동)",126.506514043571,33.2492816226172
GS25,GS25,서귀신시가지점,편의점,"제주특별자치도 서귀포시 신서로48번길 52-11, (법환동)",126.51050043539401,33.2521244094553
GS25,GS25곽지해변점,곽지해변점,편의점,"제주특별자치도 제주시 애월읍 곽지1길 28, (곽지리)",126.304371236211,33.448583841472896
GS25,GS25탑동공원점,탑동공원점,편의점,"제주특별자치도 제주시 탑동로 37, (삼도이동)",126.52091719801399,33.5175590139564
GS25,GS25,성산해뜰점,편의점,"제주특별자치도 서귀포시 성산읍 일출로 270-8, (성산리)",126.93469648353201,33.4615350222629
이디야,이디야커피,제주한림점,커피전문점/카페/다방,"제주특별자치도 제주시 한림읍 한림로 711, (대림리, 정다운아파트)",126.26436693915899,33.4182344612082
GS25,GS25너울빌리지점,너울빌리지점,편의점,"제주특별자치도 제주시 한경면 일주서로 4469, (금등리)",126.193411438479,33.362750876518504
GS25,GS25안덕서광점,안덕서광점,편의점,"제주특별자치도 서귀포시 안덕면 중산간서로 1882, (서광리)",126.32206004587299,33.2892221018714
GS25,GS25동광로터리점,동광로터리점,편의점,"제주특별자치도 서귀포시 안덕면 신화역사로 493, (동광리)",126.340264212612,33.3103108257507
GS25,GS25노형정원,노형정원,편의점,"제주특별자치도 제주시 노형4길 17, (노형동)",126.476426766479,33.4816242855095
GS25,GS25서귀홍중점,서귀홍중점,편의점,"제주특별자치도 서귀포시 홍중로 57, (서홍동)",126.556723692865,33.257646396828605
GS25,GS25과원점,과원점,편의점,"제주특별자치도 제주시 과원로 51, (연동)",126.488899210347,33.4765028186001
GS25,GS25제주이호점,제주이호점,편의점,"제주특별자치도 제주시 일주서로 7519, (이호일동)",126.44995912122101,33.4949547143476
GS25,GS25,,편의점,"제주특별자치도 제주시 조천읍 교래3길 1, (교래리)",126.67731335216499,33.436768492915604
GS25,GS25,아라중앙점,편의점,"제주특별자치도 제주시 아란2길 79, (아라일동)",126.541587217204,33.4704623581004
