가게명,지점명,업체유형,주소,경도,위도,	ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,첨단점,편의점,"제주특별자치도 제주시 첨단로 217, (영평동)",126.5717483,33.45296219,,,,,,
GS25,한라병원점,편의점,"제주특별자치도 제주시 도령로 65, (연동)",126.4849696,33.49025786,,,,,,
GS25,하귀휴먼점,편의점,"제주특별자치도 제주시 애월읍 광령평화10길 1, (광령리)",126.442607,33.45482412,,,,,,
GS25,시편의점,편의점,"제주특별자치도 제주시 도령로 31, (노형동)",126.4822031,33.48786189,,,,,,
GS25,제주한경점,편의점,"제주특별자치도 제주시 한경면 중산간서로 3662, (저지리)",126.2561703,33.33125585,,,,,,
GS25,한림동명점,편의점,"제주특별자치도 제주시 한림읍 한림중앙로 72, (동명리)",126.2663938,33.40821064,,,,,,
GS25,서귀중문점,편의점,"제주특별자치도 서귀포시 천제연로 210, (중문동)",126.4269956,33.25146575,,,,,,
GS25,도남성환점,편의점,"제주특별자치도 제주시 신성로 84, (도남동)",126.5283273,33.49565793,,,,,,
GS25,신서귀포점,편의점,"제주특별자치도 서귀포시 신서귀로97번길 45, (강정동)",126.5072291,33.25455558,,,,,,
GS25,제주도원점,편의점,"제주특별자치도 제주시 과원로 49, (연동)",126.4886409,33.47650868,,,,,,
GS25,한림옹포점,편의점,"제주특별자치도 제주시 한림읍 한림로 494, (옹포리)",126.2522933,33.40324365,,,,,,
GS25,애월구엄점,편의점,"제주특별자치도 제주시 애월읍 애월해안로 715, (구엄리)",126.3773799,33.4840002,,,,,,
GS25,한라점,편의점,"제주특별자치도 제주시 한라대학로 63, (노형동)",126.4774172,33.47666882,,,,,,
GS25,노형사랑점,편의점,"제주특별자치도 제주시 노형로 379, (노형동)",126.4760619,33.48402698,,,,,,
GS25,제주대정점,편의점,"제주특별자치도 서귀포시 대정읍 하모중앙로 75, (하모리)",126.252261,33.22139151,,,,,,
GS25,화북동중점,편의점,"제주특별자치도 제주시 일주동로 250, (화북일동)",126.5720407,33.51970968,,,,,,
GS25,쇠소깍점,편의점,"제주특별자치도 서귀포시 쇠소깍로 151-8, (하효동)",126.6212352,33.25055241,,,,,,
GS25,제주용흥점,편의점,"제주특별자치도 제주시 용담로 89, (용담이동)",126.512289,33.51228969,,,,,,
GS25,제주동교점,편의점,"제주특별자치도 제주시 동문로 68, (일도이동)",126.5339471,33.51336835,,,,,,
GS25,담모라점,편의점,"제주특별자치도 서귀포시 안덕면 일주서로 1975-11, (사계리)",126.3060876,33.24970614,,,,,,
GS25,천지연점,편의점,"제주특별자치도 서귀포시 남성중로 2-11, (서홍동)",126.559831,33.24420332,,,,,,
GS25,서귀정방점,편의점,"제주특별자치도 서귀포시 남원읍 태위로 69, (위미리)",126.6549913,33.27385043,,,,,,
GS25,탑동아라점,편의점,"제주특별자치도 제주시 임항로 18, (건입동)",126.5267498,33.51635731,,,,,,
GS25,함덕해변점,편의점,"제주특별자치도 제주시 조천읍 조함해안로 530, (함덕리)",126.6695576,33.54246079,,,,,,
GS25,제주베두리점,편의점,"제주특별자치도 제주시 삼무로 77, (연동)",126.4950013,33.49006456,,,,,,
GS25,제주아라점,편의점,"제주특별자치도 제주시 간월동로 6, (아라이동)",126.5435705,33.48501913,,,,,,
GS25,이도중앙점,편의점,"제주특별자치도 제주시 신설로7길 25, (이도이동)",126.5446816,33.49384961,,,,,,
GS25,노형월광점,편의점,"제주특별자치도 제주시 월광로 25, (노형동)",126.4641808,33.48419585,,,,,,
GS25,노형중점,편의점,"제주특별자치도 제주시 노형5길 42, (노형동)",126.4744279,33.47965231,,,,,,
GS25,삼화엘에이치점,편의점,"제주특별자치도 제주시 화삼로 110, (도련이동, 제주삼화엘에이치3단지)",126.5866577,33.5144318,,,,,,
GS25,탐라도서관점,편의점,"제주특별자치도 제주시 노형1길 43, (노형동, 노형블래스빌)",126.4776547,33.47970101,,,,,,
GS25,함덕골든튤립점,편의점,"제주특별자치도 제주시 조천읍 조함해안로 504, (함덕리)",126.6669207,33.54239637,,,,,,
GS25,외도중앙점,편의점,"제주특별자치도 제주시 우정로8길 20, (외도일동)",126.4289583,33.48938904,,,,,,
GS25,제주용화점,편의점,"제주특별자치도 제주시 용화로 26, (용담이동)",126.5063166,33.50972948,,,,,,
GS25,서귀공천포점,편의점,"제주특별자치도 서귀포시 남원읍 일주동로 7897, (신례리)",126.6419286,33.26621592,,,,,,
GS25,편의점동홍대림점,편의점,"제주특별자치도 서귀포시 동홍중앙로 50, (동홍동)",126.5722943,33.2550582,,,,,,
GS25,김녕예그리나점,편의점,"제주특별자치도 제주시 구좌읍 일주동로 1845, (김녕리)",126.7288165,33.5565532,,,,,,
GS25,서귀신시가지점,편의점,"제주특별자치도 서귀포시 신서로48번길 52-11, (법환동)",126.5105004,33.25212441,,,,,,
GS25,곽지해변점,편의점,"제주특별자치도 제주시 애월읍 곽지1길 28, (곽지리)",126.3043712,33.44858384,,,,,,
GS25,탑동공원점,편의점,"제주특별자치도 제주시 탑동로 37, (삼도이동)",126.5209172,33.51755901,,,,,,
GS25,성산해뜰점,편의점,"제주특별자치도 서귀포시 성산읍 일출로 270-8, (성산리)",126.9346965,33.46153502,,,,,,
GS25,너울빌리지점,편의점,"제주특별자치도 제주시 한경면 일주서로 4469, (금등리)",126.1934114,33.36275088,,,,,,
GS25,안덕서광점,편의점,"제주특별자치도 서귀포시 안덕면 중산간서로 1882, (서광리)",126.32206,33.2892221,,,,,,
GS25,동광로터리점,편의점,"제주특별자치도 서귀포시 안덕면 신화역사로 493, (동광리)",126.3402642,33.31031083,,,,,,
