,지점명,판매물품
614,압구정로데오역,스타벅스 돌체 라떼
615,압구정로데오역,에스프레소
616,압구정로데오역,자바 칩 프라푸치노
617,압구정로데오역,망고 바나나 블렌디드
618,압구정로데오역,잉글리쉬 브렉퍼스트 티
619,압구정로데오역,허니 얼 그레이 밀크 티
620,역삼역,콜드 브루
621,역삼역,오늘의 커피
622,역삼역,카페 아메리카노
623,역삼역,카라멜 마키아또
624,역삼역,스타벅스 돌체 라떼
625,역삼역,에스프레소
626,역삼역,자바 칩 프라푸치노
627,역삼역,망고 바나나 블렌디드
628,역삼역,잉글리쉬 브렉퍼스트 티
629,역삼역,허니 얼 그레이 밀크 티
630,강남비젼타워,콜드 브루
631,강남비젼타워,오늘의 커피
632,강남비젼타워,카페 아메리카노
633,강남비젼타워,카라멜 마키아또
634,강남비젼타워,스타벅스 돌체 라떼
635,강남비젼타워,에스프레소
636,강남비젼타워,자바 칩 프라푸치노
637,강남비젼타워,망고 바나나 블렌디드
638,강남비젼타워,잉글리쉬 브렉퍼스트 티
639,강남비젼타워,허니 얼 그레이 밀크 티
640,뱅뱅사거리,콜드 브루
641,뱅뱅사거리,오늘의 커피
642,뱅뱅사거리,카페 아메리카노
643,뱅뱅사거리,카라멜 마키아또
644,뱅뱅사거리,스타벅스 돌체 라떼
645,뱅뱅사거리,에스프레소
646,뱅뱅사거리,자바 칩 프라푸치노
647,뱅뱅사거리,망고 바나나 블렌디드
648,뱅뱅사거리,잉글리쉬 브렉퍼스트 티
649,뱅뱅사거리,허니 얼 그레이 밀크 티
650,아크로힐스논현,콜드 브루
651,아크로힐스논현,오늘의 커피
652,아크로힐스논현,카페 아메리카노
653,아크로힐스논현,카라멜 마키아또
654,아크로힐스논현,스타벅스 돌체 라떼
655,아크로힐스논현,에스프레소
656,아크로힐스논현,자바 칩 프라푸치노
657,아크로힐스논현,망고 바나나 블렌디드
658,아크로힐스논현,잉글리쉬 브렉퍼스트 티
659,아크로힐스논현,허니 얼 그레이 밀크 티
660,신압구정,콜드 브루
661,신압구정,오늘의 커피
662,신압구정,카페 아메리카노
663,신압구정,카라멜 마키아또
664,신압구정,스타벅스 돌체 라떼
665,신압구정,에스프레소
666,신압구정,자바 칩 프라푸치노
667,신압구정,망고 바나나 블렌디드
668,신압구정,잉글리쉬 브렉퍼스트 티
669,신압구정,허니 얼 그레이 밀크 티
670,청담공원,콜드 브루
671,청담공원,오늘의 커피
672,청담공원,카페 아메리카노
673,청담공원,카라멜 마키아또
674,청담공원,스타벅스 돌체 라떼
675,청담공원,에스프레소
676,청담공원,자바 칩 프라푸치노
677,청담공원,망고 바나나 블렌디드
678,청담공원,잉글리쉬 브렉퍼스트 티
679,청담공원,허니 얼 그레이 밀크 티
680,차병원사거리,콜드 브루
681,차병원사거리,오늘의 커피
682,차병원사거리,카페 아메리카노
683,차병원사거리,카라멜 마키아또
