productName,price,division1,division2,division3,seller,update,barcode,id
산수유210ml,13000,가공식품,기타음료,혼합음료,광동제약(주),2015-01-22 11:12:12,8806002003931,1996030801014
산수유210m*10,20000,가공식품,기타음료,혼합음료,광동제약(주),2015-01-22 11:12:12,8806002004044,1996030801014
산수유(100ml),40000,가공식품,기타음료,혼합음료,광동제약(주),2015-01-22 11:12:12,8806002002894,1996030801014
광동산수유100ML*10,11000,가공식품,기타음료,혼합음료,광동제약(주),2015-01-22 11:12:12,8806002003900,1996030801014
생로얄에프/100*20,28000,가공식품,과일.채소류음료,과.채음료,광동제약(주),2015-01-22 11:12:12,8806002000794,1996030801012
홍삼애,19000,가공식품,음료류,인삼.홍삼음료,바이셀,2015-01-22 11:12:12,8809323750065,201104440186
뿌리전체를 갈아만든 발효홍삼 파우치,33000,가공식품,음료류,인삼.홍삼음료,바이셀,2015-01-22 11:12:12,8809323750010,201104440181
뿌리전체를 갈아만든 발효홍삼 박스,33000,가공식품,음료류,인삼.홍삼음료,바이셀,2015-01-22 11:12:12,8809323750027,201104440181
펩시넥스1.25펫,20000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056032388,1984022101057
롯데칠성음료 트레비 라임 500ml펫,34000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056055189,1984022101056
(주)휴럼 이마트 유기농석류즙_50ml*21ea,38000,가공식품,과일.채소류음료,과.채주스,(주)휴럼,2015-01-22 11:12:12,8809191574664,20080415099117
(주)휴럼 이마트 유기농석류즙_50ml*7ea,26000,가공식품,과일.채소류음료,과.채주스,(주)휴럼,2015-01-22 11:12:12,8809191574657,20080415099117
고려홍삼생녹용원골드 50ml×5,9000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027331713,19970378043130
고려홍삼생녹용원골드 50㎖×30/p.c,35000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027331706,19970378043130
고려생산삼뿌리배양근 20㎖×30/dual p.c,25000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027331744,19970378043124
고려 생산삼뿌리배양근 20㎖×10/p.c,9000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027331492,19970378043124
고려 홍삼대보원액 80㎖×60,22000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027331324,19970378043121
고려 홍삼대보원액 80㎖×30,19000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027331317,19970378043121
고려홍삼대보원액 80ml×5,34000,가공식품,음료류,인삼.홍삼음료,고려인삼연구(주),2015-01-22 11:12:12,8809027332932,19970378043121
(주)휴럼 이마트 유기농석류즙(파우치)_50ml x 1EA,17000,가공식품,과일.채소류음료,과.채주스,(주)휴럼,2015-01-22 11:12:12,8809191574640,20080415099117
(주)휴럼 이마트 유기농블루베리즙_50ml*7ea,11000,가공식품,과일.채소류음료,과.채주스,(주)휴럼,2015-01-22 11:12:12,8809191574688,20080415099118
(주)휴럼 이마트 유기농블루베리즙(파우치)_50ml x 1EA,36000,가공식품,과일.채소류음료,과.채주스,(주)휴럼,2015-01-22 11:12:12,8809191574671,20080415099118
(주)휴럼 이마트 유기농블루베리즙_50ml*21ea,32000,가공식품,과일.채소류음료,과.채주스,(주)휴럼,2015-01-22 11:12:12,8809191574695,20080415099118
(주)담터 헤이즐넛향커피믹스,13000,가공식품,음료류,커피,(주)담터,2015-01-22 11:12:12,8803284607659,19710372001143
담터]애플에이드15T,13000,가공식품,기타음료,음료베이스,(주)담터,2015-01-22 11:12:12,8803284605464,19710372001141
담터]애플에이드60T,10000,가공식품,기타음료,음료베이스,(주)담터,2015-01-22 11:12:12,8803284605532,19710372001141
펩시콜라블루500,30000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056002541,2000036037219
네스티 블랙커런트맛 240ML,12000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094483005,19740344001149
네스티 블랙커런트맛 500ML,21000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094482602,19740344001149
조지아커피 오리지널(5+1) 240*6,36000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094503031,19740344001148
조지아 오리지널 PET 280ml,40000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094502102,19740344001148
한국코카콜라 조지아오리지날240ML - CAN,10000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094503000,19740344001148
한국코카콜라 조지아오리지날175ML - CAN,15000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094503505,19740344001148
조지아 오리지날 1/2,20000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094563004,19740344001148
조지아커피 오리지널 150ml,18000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094503901,19740344001148
소켄비차1.5L,35000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094602406,19740344001147
소켄비차350ml,6000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094602208,19740344001147
코카콜라_소켄비차 240ml,9000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094603007,19740344001147
한국코카콜라 파워에이드비타레몬600ML - PET BOTTLE,13000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094232702,19740344001145
파워에이드 아쿠아 그레이프후르트 맛 1.5L,34000,가공식품,기타음료,혼합음료,한국코카콜라(유),2015-01-22 11:12:12,8801094222406,19740344001144
파워에이드 아쿠아그레이프후르트 맛 240ml,27000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094223007,19740344001144
파워에이드_아쿠아 그레이프_240ML*6,21000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094223038,19740344001144
파워에이드 아쿠아 그레이프후르트 맛 600ML,18000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094222703,19740344001144
네스티 달콤한 꿀맛배 240ML,14000,가공식품,기타음료,혼합음료,한국코카콜라(주),2015-01-22 11:12:12,8801094473006,19740344001142
2%사과1.5L,15000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056005719,19780368002405
롯)비타파워250ml,35000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056006297,19780368002251
스위플 레드오렌지 200ml,37000,가공식품,기타음료,혼합음료,(학)연세대학교연세우유,2015-01-22 11:12:12,8801753100885,1993046102297
스위플 레드오렌지 200ml*24,3000,가공식품,기타음료,혼합음료,(학)연세대학교연세우유,2015-01-22 11:12:12,8801753100892,1993046102297
홍삼음료 180ML,25000,가공식품,음료류,인삼.홍삼음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056001285,19780368002269
꿀홍삼180*12,36000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056030649,19780368002268
모메존석류(캔),21000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056009731,19780368002265
롯데비타파워병(210ml),34000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056007163,19780368002251
롯데비타파워병(100ml),19000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056005237,19780368002251
