,제품id,제품명,가격,대분류,중분류,소분류,브랜드
78,993996995993991998,[스파클 빈병 회수] 스파클 생수 2리터×6병(5팩) - 총30병,"15,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
79,996996999992990992,[스파클 빈병 회수] 스파클 생수 2리터×6병(2팩) - 총12병,"7,200",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
80,991992994991995998,[스파클 빈병회수/에코캠페인] 환경까지 생각하는 스파클 생수 2리터/500ml/330ml/말통/탄산수 총모음!,"7,200",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
81,995995997998993991,[스파클 빈병 회수] 스파클 생수 2리터×6병(3팩) - 총18병 외 옵션택1,"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
82,992995998998991991,[스파클 빈병 회수] 스파클 생수 2리터×6병(12팩) - 총72병,"36,520",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
83,997995999997992997,[스파클 빈병 회수] 스파클 생수 330ml×24병×2팩 (총48병) or 500ml×20병×2팩 (총40병) 택1,"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
84,994990999999995997,[스파클 빈병 회수] 스파클 생수 330ml×24병×3팩 (총72병),"14,730",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
85,994997997990992997,[스파클 빈병 회수] 스파클 생수 2리터×6병(7팩) - 총42병,"21,380",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
86,990994992997991998,[스파클 빈병 회수] 스파클 생수 2리터×6병(6팩) - 총36병,"17,960",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
87,999996992999998999,[스파클 빈병 회수] 스파클 생수 2리터×6병(3팩) - 총18병 외 옵션 택1,"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
88,999996996997996990,[스파클 빈병 회수] 스파클 생수 330ml×24병×8팩 (총192병),"35,350",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
89,998996996994990992,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×4통,"21,600",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
90,992997991990992992,[스파클 빈병 회수] 스파클 생수 500ml×20병×8팩 (총160병),"33,710",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
91,990998998991990997,[스파클 빈병 회수][대리점배송] 스파클 생수 500ml×20병×12팩 (총240병),"48,720",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
92,993990990993991996,[스파클 빈병 회수] 스파클 생수 2리터×12병 (6병×2팩)+330ml×24병,"12,280",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
93,999995993994992990,[스파클 빈병 회수] 스파클 생수 330ml×24병×4팩 (총96병),"19,150",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
94,992994992990990994,[스파클 빈통 회수][실속세트] 스파클 생수 말통 (대용량 18.9L)×2통+500ml×20병,"13,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
95,995994995992991992,[스파클 빈통 회수][실속세트] 스파클 생수 말통 (대용량 18.9L)×2통+500ml 20병,"13,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
96,992994995999990995,[스파클 빈병회수][단체구매용] 스파클 생수 330ml×24병×12팩 (총288병) / 대리점배송 (배송가능지역 확인필요),"49,650",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
97,992995991994992991,[스파클 빈병 회수] 스파클 생수 500ml×20병×6팩 (총120병),"25,530",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
98,992999991999999997,[스파클 빈병 회수] 스파클 생수 2리터×24병 (6병×4팩)+500ml×20병,"18,210",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
99,992999998994990995,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×2통,"11,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
100,991998993990999995,[스파클 빈병 회수] 스파클 생수 500ml×20병×2팩 (총40병) or 330ml×24병×2팩 (총48병) 택1,"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
101,999993996998994992,[스파클 빈병 회수] 스파클 생수 2리터×12병 (6병×2팩)+330ml×24병,"12,280",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
102,995993995998992999,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×2통,"11,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
103,994999993995994991,[스파클 빈병 회수] 스파클 생수 500ml×20병×8팩 (총160병),"33,710",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
104,993997991999998994,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×1통,"6,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
105,995994997993999999,[스파클 빈병 회수] 스파클 생수 2리터×6병(5팩) - 총30병,"15,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
106,995996995992997997,[스파클 빈병회수][단체구매용] 스파클 생수 330ml×24병×12팩 (총288병) / 대리점배송 (배송가능지역 확인필요),"49,650",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
