브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,원주만대로점,편의점,"강원도 원주시 만대로 96, (무실동, 원주무실주공5차)",37.339390431868,127.915759244501,,,,,,
이디야,거두사거리점,프렌차이즈,"강원도 춘천시 동내면 춘천순환로 70, (거두리)",37.8553476651359,127.75163544886298,,,,,,
GS25,원주천매점,편의점,"강원도 원주시 천매봉길 80, (단구동)",37.3242581412664,127.94133351100001,,,,,,
스타벅스,춘천석사DT점,프렌차이즈,"강원도 춘천시 후석로 13, (석사동)",37.8566995076552,127.73926661138701,,,,,,
GS25,춘천요선점,편의점,"강원도 춘천시 서부대성로 48, (요선동)",37.8830388220706,127.72829432633301,,,,,,
이디야,속초교동점,프렌차이즈,"강원도 속초시 중앙로 44, (교동)",38.1999047019816,128.581392134394,,,,,,
GS25,원주뉴일산점,편의점,"강원도 원주시 남산로 77, (일산동)",37.3449665140588,127.942908830839,,,,,,
GS25,원주만종점,편의점,"강원도 원주시 호저면 원문로 422, (만종리)",37.3616454079123,127.912347615245,,,,,,
이디야,장학점,프렌차이즈,"강원도 춘천시 동면 춘천로449번길 30, (장학리)",37.89480803256679,127.75368599653,,,,,,
GS25,새말IC점,편의점,"강원도 횡성군 우천면 한우로 1406, (우항리)",37.4493403966571,128.075089933937,,,,,,
GS25,장학춘천로점,편의점,"강원도 춘천시 동면 춘천로449번길 30, (장학리)",37.89480803256679,127.75368599653,,,,,,
GS25,문막대로점,편의점,"강원도 원주시 문막읍 원문로 1648, (건등리)",37.3180947708355,127.829786416508,,,,,,
GS25,원주무실원룸점,편의점,"강원도 원주시 섬밭들1길 24, (무실동)",37.3331774229263,127.92260485679199,,,,,,
버거킹,춘천거두GS점,프렌차이즈,"강원도 춘천시 동내면 춘천순환로 59, (거두리)",37.8558312144576,127.75021331209601,,,,,,
GS25,원주상지영서대점,편의점,"강원도 원주시 상지대길 83, (우산동)",37.3691182941434,127.92989537389099,,,,,,
GS25,행촌로점,편의점,"강원도 춘천시 행촌로 11, (퇴계동)",37.858840471412705,127.721984918468,,,,,,
이디야,낙원점,프렌차이즈,"강원도 춘천시 중앙로 110, (낙원동)",37.8770246148814,127.722564531047,,,,,,
GS25,흥업LH점,편의점,"강원도 원주시 흥업면 남원로 52, (흥업리, 원주흥업엘에이치천년나무2단지)",37.299231361893895,127.921105588506,,,,,,
스타벅스,춘천후평DT점,프렌차이즈,강원도 춘천시 후석로 318,37.87942104995471,127.750622483813,,,,,,
GS25,속초양우점,편의점,"강원도 속초시 온정로1길 30, (조양동, 속초조양양우내안애아파트)",38.1866931420073,128.589289176005,,,,,,
